STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT_TO_MURDER,CULPABLE_HOMICIDE_NOT_AMOUNTING_TO_MURDER,RAPE,CUSTODIAL_RAPE,OTHER_RAPE,KIDNAPPING_&_ABDUCTION,KIDNAPPING_AND_ABDUCTION_OF_WOMEN_AND_GIRLS,KIDNAPPING_AND_ABDUCTION_OF_OTHERS,DACOITY,PREPARATION_AND_ASSEMBLY_FOR_DACOITY,ROBBERY,BURGLARY,THEFT,AUTO_THEFT,OTHER_THEFT,RIOTS,CRIMINAL_BREACH_OF_TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS_HURT,DOWRY_DEATHS,ASSAULT_ON_WOMEN_WITH_INTENT_TO_OUTRAGE_HER_MODESTY,INSULT_TO_MODESTY_OF_WOMEN,CRUELTY_BY_HUSBAND_OR_HIS_RELATIVES,IMPORTATION_OF_GIRLS_FROM_FOREIGN_COUNTRIES,CAUSING_DEATH_BY_NEGLIGENCE,OTHER_IPC_CRIMES,TOTAL_IPC_CRIMES,Crime_Rate
Assam,Sibsagar,2004,79,30,4,54,2,54,80,79,2,1,1,24,96,377,39,341,67,14,40,1,25,232,4,63,1,133,2,82,572,1980,24.75
Assam,Total,2004,1208,413,30,1245,2,1243,1827,1545,280,317,13,543,2911,7822,1364,6459,2682,460,903,98,488,5289,107,1292,9,2547,1,3023,10445,43675,36.12489660876758
Chhattisgarh,Rajnandgaon,2004,37,28,8,60,0,61,6,4,3,6,1,17,213,148,47,100,33,4,25,2,15,113,14,66,3,27,2,1,1422,2246,59.10526315789474
Maharashtra,Nasik Rural,2004,104,29,1,48,2,51,25,16,9,17,4,44,318,550,140,412,291,63,111,8,17,771,8,103,29,373,1,458,1138,4511,42.96190476190476
Manipur,Thoubal,2004,38,48,1,11,2,9,31,21,12,2,2,1,4,15,1,12,12,4,6,1,10,41,0,2,1,2,1,3,125,347,8.897435897435898
Maharashtra,Kolhapur,2004,66,42,4,16,1,19,14,9,6,17,0,19,221,473,160,312,138,46,69,3,18,551,18,46,7,71,1,286,868,2988,44.59701492537314
Tamil Nadu,Kanyakumari,2004,32,42,3,15,1,15,17,17,1,3,0,4,111,258,19,239,7,5,122,3,12,312,1,17,2,42,2,169,1898,3063,92.81818181818181
Odisha,Kendrapara,2004,27,40,1,11,0,12,14,14,5,0,5,10,71,84,8,75,9,9,16,0,4,13,14,12,2,11,1,8,575,929,33.17857142857143
Maharashtra,Sangli,2004,77,25,3,49,2,49,22,11,13,7,6,19,189,497,135,364,91,31,152,10,33,412,6,37,8,85,2,296,643,2715,34.80769230769231
Karnataka,Haveri,2004,27,11,1,8,2,10,5,2,7,3,1,3,66,115,24,91,254,9,16,0,2,284,3,26,1,24,1,2,1116,1968,70.28571428571429
Uttarakhand,Uttarkashi,2004,5,4,4,9,2,9,3,7,2,1,1,1,16,34,3,34,15,9,4,1,2,5,1,6,1,4,0,2,94,213,35.5
Lakshadweep,Lakshadweep,2004,1,2,1,4,2,2,1,1,2,2,2,1,8,8,1,9,5,1,1,1,3,3,2,1,2,3,1,0,6,32,16.0
Punjab,Total,2004,773,718,147,391,0,389,464,312,153,16,80,86,1767,2588,1134,1455,15,313,2730,60,54,4401,112,262,36,803,1,2181,7638,25631,33.11498708010336
Uttar Pradesh,Raibareilly,2004,73,58,25,37,0,35,40,34,4,0,0,26,99,247,25,218,72,43,43,2,13,322,26,44,21,109,2,121,689,2110,28.513513513513512
Rajasthan,Sawai Madhopur,2004,20,20,0,29,2,28,49,40,10,0,4,5,81,378,129,249,2,7,154,2,22,40,13,44,0,115,2,68,2167,3215,153.0952380952381
Himachal Pradesh,Bilaspur,2004,8,7,1,14,2,14,12,13,0,3,1,2,46,51,24,24,63,1,16,2,21,61,1,21,2,15,0,30,728,1097,121.88888888888889
Bihar,Purnea,2004,99,73,10,51,2,50,50,11,38,79,4,133,71,233,76,151,190,7,2,1,4,13,11,11,0,28,1,79,768,1921,19.21
Jharkhand,Gumla,2004,124,56,2,53,2,55,26,25,3,19,0,25,14,88,15,74,38,3,12,6,6,2,3,11,1,13,2,147,331,992,7.936
Madhya Pradesh,Tikamgarh,2004,38,30,1,51,1,51,13,6,12,1,2,14,170,152,16,135,48,2,15,1,24,911,19,100,4,22,1,59,1004,2676,68.61538461538461
Odisha,Keonjhar,2004,58,38,1,38,2,39,12,15,1,2,0,23,57,173,25,148,54,12,15,1,26,144,15,86,4,13,1,291,864,1931,32.728813559322035
Andhra Pradesh,Hyderabad City,2004,125,130,3,58,2,55,157,62,91,16,1,91,1874,6576,2194,4379,232,158,2093,22,68,4593,41,166,297,1081,1,487,1982,20254,160.74603174603175
Arunachal Pradesh,Subansiri Lower,2004,6,1,2,1,2,1,6,2,3,1,1,9,16,34,5,28,0,1,3,0,6,20,2,3,1,1,0,2,50,154,22.0
Uttarakhand,Haridwar,2004,74,44,8,33,2,32,47,23,21,2,2,35,80,389,149,241,84,32,91,2,9,207,8,21,34,78,2,97,391,1774,23.653333333333332
Delhi Ut,Grp(Rly),2004,3,2,1,3,1,1,12,10,2,0,1,5,1,944,35,914,2,7,11,1,2,6,3,2,0,1,2,0,73,1077,269.25
Andhra Pradesh,Krishna,2004,93,67,4,41,2,43,28,22,5,1,0,4,242,544,33,512,47,20,144,3,40,1942,15,213,109,374,2,280,1114,5316,56.5531914893617
Uttar Pradesh,Jaunpur,2004,54,72,28,18,2,18,20,18,7,4,2,39,79,161,65,92,56,21,72,3,1,253,27,9,20,61,2,24,561,1587,28.854545454545455
Haryana,Grp,2004,17,4,2,1,2,2,0,2,2,1,1,2,1,147,0,147,10,1,7,2,2,5,3,2,49,1,2,9,465,728,40.44444444444444
Chhattisgarh,Durg,2004,56,48,0,118,2,116,21,18,2,3,2,45,560,729,36,695,42,17,80,5,16,444,13,228,29,119,1,0,3549,6128,107.50877192982456
Andhra Pradesh,Nizamabad,2004,87,37,15,25,0,27,59,33,27,15,0,40,290,495,92,404,50,20,181,11,37,2027,17,88,41,408,2,285,832,5058,57.47727272727273
Jammu & Kashmir,Awantipora,2004,28,9,2,7,1,7,12,10,0,1,2,1,37,52,6,45,17,1,7,0,1,1,0,23,1,2,0,2,213,412,14.206896551724139
Tripura,South,2004,31,10,2,28,1,31,15,7,11,4,2,10,43,50,2,51,61,0,2,0,5,98,4,58,1,91,1,12,202,737,23.03125
West Bengal,Darjeeling,2004,50,4,16,38,1,39,19,16,2,3,39,8,6,335,58,271,22,20,7,2,8,207,1,39,3,81,1,114,425,1448,28.392156862745097
Manipur,Chandel,2004,9,5,0,1,0,2,8,2,11,2,1,6,2,5,0,6,2,1,2,0,2,20,1,1,0,2,0,2,34,96,9.6
Jharkhand,Dhanbad Rly.,2004,3,1,2,4,2,0,4,0,2,20,0,32,8,242,1,240,13,1,4,2,1,1,2,3,1,2,2,4,75,408,102.0
Bihar,Patna Rly.,2004,13,7,4,2,2,0,1,2,2,17,3,29,3,600,60,537,5,1,21,2,1,2,1,8,1,1,0,1,236,951,67.92857142857143
Andhra Pradesh,Vizianagaram,2004,31,17,2,6,1,5,3,0,1,2,0,6,107,134,2,134,14,26,33,3,2,437,6,35,25,125,2,164,979,2148,67.125
Chhattisgarh,Koriya,2004,20,15,3,58,0,57,5,6,1,1,2,5,203,136,18,116,19,0,12,2,5,177,2,71,1,21,2,56,722,1530,72.85714285714286
Tamil Nadu,Erode,2004,60,23,2,11,1,15,24,19,3,3,2,20,149,668,214,449,25,7,147,2,27,2105,6,37,4,22,2,448,2266,6046,99.11475409836065
Punjab,Amritsar,2004,48,31,3,11,1,11,40,27,11,2,5,14,102,163,99,65,0,18,209,5,2,175,5,8,1,49,2,70,462,1423,29.040816326530614
Bihar,Siwan,2004,94,71,7,18,1,16,105,89,16,37,2,101,88,226,49,175,175,34,59,15,21,244,40,10,2,74,2,61,954,2440,25.68421052631579
Odisha,Kendrapara,2004,31,25,1,21,2,19,7,8,2,5,2,18,54,76,3,69,18,4,5,3,12,40,27,9,1,12,2,2,623,992,31.0
Maharashtra,Washim,2004,36,15,2,28,2,31,9,8,1,4,2,29,120,356,22,333,72,4,16,4,23,416,11,46,8,101,1,75,515,1873,50.62162162162162
Meghalaya,Total,2004,174,58,19,42,2,42,49,11,40,82,1,133,160,362,106,250,4,12,32,5,15,108,2,12,3,2,0,41,356,1670,9.542857142857143
Jharkhand,Koderma,2004,32,26,2,1,1,1,2,1,2,41,2,23,13,37,4,28,104,8,17,2,2,188,8,7,0,36,2,38,178,752,22.78787878787879
Nagaland,Kiphire,2004,0,2,1,1,1,2,1,1,2,1,1,0,3,1,2,4,1,1,1,1,1,0,2,2,0,0,1,2,2,9,9.0
Uttar Pradesh,Gorakhpur,2004,87,55,34,23,1,21,43,37,4,2,3,38,96,319,181,141,98,50,59,15,3,306,14,24,43,68,0,247,570,2205,25.056818181818183
Maharashtra,Amravati Commr.,2004,26,14,0,23,2,23,15,15,3,7,5,26,196,734,136,597,80,19,57,0,9,431,3,34,25,77,1,65,746,2591,95.96296296296296
Uttar Pradesh,Mirzapur,2004,48,23,16,5,2,5,11,8,4,11,1,18,47,117,26,93,16,24,28,3,0,176,25,11,9,30,2,122,160,898,18.3265306122449
Maharashtra,Nagpur Commr.,2004,104,42,2,26,0,28,36,31,5,15,37,174,1080,2024,723,1302,166,48,149,15,13,783,4,35,36,137,1,226,2212,7355,70.04761904761905
Uttar Pradesh,Jhansi,2004,72,33,26,14,0,17,37,30,10,5,1,21,64,160,67,91,46,15,42,1,2,91,26,19,34,52,1,120,793,1671,22.89041095890411
Madhya Pradesh,Harda,2004,11,11,1,23,2,24,0,1,1,4,1,12,43,82,32,49,5,0,1,0,2,276,5,51,2,24,1,4,266,828,69.0
Assam,Guwahati City,2004,49,29,4,36,2,39,217,186,32,27,1,99,608,1155,247,909,413,167,212,8,5,525,4,51,2,136,1,170,1666,5588,111.76
Himachal Pradesh,Lahaul-Spiti,2004,1,1,2,0,1,2,0,2,1,1,1,2,2,1,2,0,2,3,2,2,1,3,2,2,0,1,1,11,34,52,26.0
Maharashtra,Nagpur Commr.,2004,104,69,1,50,2,54,59,49,11,18,31,185,1238,2734,938,1796,248,61,274,15,27,971,3,78,52,184,1,247,2963,9606,91.48571428571428
Lakshadweep,Total,2004,0,2,2,1,1,0,1,0,2,1,2,2,1,6,0,5,38,1,2,3,2,4,2,0,1,2,1,1,19,70,70.0
Uttarakhand,Uttarkashi,2004,8,5,4,11,2,11,8,5,2,2,1,6,26,22,4,18,17,1,3,2,1,6,0,3,5,13,1,2,103,238,26.444444444444443
Kerala,Ernakulam Commr.,2004,14,21,12,8,2,6,19,9,8,9,0,57,306,485,167,315,191,17,375,2,4,555,2,64,7,81,0,0,4540,6757,450.46666666666664
Tamil Nadu,Kanchipuram,2004,48,54,0,18,1,16,10,12,1,5,1,11,108,375,56,319,77,0,7,1,2,569,4,65,39,6,1,507,4902,6806,138.89795918367346
Odisha,Puri,2004,50,124,2,41,2,41,21,15,3,5,4,39,142,211,19,192,58,8,33,2,18,54,1,8,2,23,1,64,1539,2444,47.92156862745098
Uttar Pradesh,J.P.Nagar,2004,67,39,13,22,1,20,19,16,4,2,1,17,44,133,44,88,38,10,23,2,1,40,10,29,40,19,2,120,449,1131,16.63235294117647
Haryana,Grp,2004,25,0,1,0,1,3,2,1,2,1,4,5,0,201,33,168,7,1,8,1,0,12,12,1,60,1,1,9,423,769,29.576923076923077
Odisha,Rayagada,2004,24,19,1,21,2,17,5,1,5,5,0,5,33,69,1,64,45,6,17,1,6,51,1,60,0,35,0,47,496,953,38.12
Kerala,Palakkad,2004,50,43,10,49,1,50,11,5,2,16,4,40,351,309,112,201,609,52,138,7,62,1451,2,122,4,195,1,11,2602,6136,120.31372549019608
Madhya Pradesh,Dindori,2004,28,5,2,24,2,24,1,2,1,0,2,1,54,24,6,15,21,0,3,2,7,100,3,56,4,14,2,26,491,864,29.79310344827586
Haryana,Gurgaon,2004,65,49,14,29,2,29,50,36,14,8,8,44,303,770,441,333,69,41,40,3,24,279,9,35,57,130,2,9,1580,3624,54.90909090909091
Madhya Pradesh,Indore,2004,95,131,3,79,1,76,62,42,18,8,9,162,966,2854,1454,1405,134,63,124,5,40,976,24,239,85,299,1,339,9312,15998,166.64583333333334
Uttar Pradesh,Banda,2004,63,36,16,15,2,18,14,12,8,1,1,14,38,94,21,73,30,20,51,1,5,86,20,32,4,12,0,1,449,1007,15.734375
Mizoram,Lunglei,2004,1,0,1,9,0,13,2,2,0,1,1,2,72,174,5,168,1,3,12,4,6,14,0,11,1,0,2,2,32,335,167.5
Uttar Pradesh,Kanpur Dehat,2004,36,21,29,6,0,4,24,19,7,4,3,14,23,109,9,100,20,15,9,2,5,134,20,14,119,18,2,116,472,1218,32.91891891891892
Madhya Pradesh,Betul,2004,67,50,3,136,2,138,24,21,4,1,2,10,227,190,37,153,19,0,29,1,14,440,7,171,11,51,1,68,1787,3311,48.69117647058823
Himachal Pradesh,Shimla,2004,15,5,1,31,2,34,13,9,4,1,2,1,94,145,31,116,123,34,37,1,6,79,2,52,5,27,2,77,1256,2009,125.5625
Odisha,Khurda,2004,43,69,1,56,2,57,63,58,10,13,4,131,489,1222,614,606,78,43,249,6,29,1091,18,44,9,44,0,166,1551,5433,123.47727272727273
Punjab,Kapurthala,2004,31,18,4,16,1,17,14,7,9,6,2,1,35,79,28,53,0,3,196,1,3,145,9,12,2,49,2,71,214,914,28.5625
Odisha,Baragarh,2004,21,34,1,13,1,13,2,4,2,15,2,19,61,121,15,101,93,10,15,1,18,78,1,49,4,31,2,108,570,1258,57.18181818181818
Uttar Pradesh,Fatehgarh,2004,73,44,20,6,2,9,17,7,9,0,4,10,36,65,22,41,4,15,23,2,0,42,19,11,70,20,2,52,325,849,11.472972972972974
Uttar Pradesh,Shahjahanpur,2004,160,118,35,17,1,18,64,60,3,4,1,41,49,164,50,115,11,17,17,11,2,126,26,18,62,13,0,68,423,1444,8.968944099378882
Bihar,Begusarai,2004,107,102,4,24,1,22,121,8,115,17,2,85,70,323,15,306,203,91,57,2,12,175,17,6,1,53,2,82,1552,3112,28.814814814814813
Tamil Nadu,Erode,2004,53,17,3,11,1,10,44,35,11,0,2,23,194,676,246,429,42,7,34,2,27,2212,1,58,9,50,0,460,2121,6053,112.0925925925926
Gujarat,Kutch,2004,34,22,4,1,0,2,39,37,7,9,2,27,219,261,84,177,69,18,55,0,18,443,4,31,1,175,2,239,1944,3609,103.11428571428571
Tamil Nadu,Thiruvallur,2004,41,42,2,10,0,12,35,31,1,6,2,13,96,209,17,195,158,3,25,1,15,385,5,97,24,29,2,194,2221,3610,85.95238095238095
Madhya Pradesh,Barwani,2004,40,29,5,47,1,47,1,4,2,0,1,16,135,245,74,171,33,4,12,0,8,291,2,103,15,33,1,119,1247,2392,58.34146341463415
Jammu & Kashmir,Anantnag,2004,78,72,4,11,2,8,82,76,7,4,2,18,126,105,23,82,104,6,23,4,34,27,2,61,44,1,1,21,531,1348,17.063291139240505
Uttar Pradesh,Maharajganj,2004,48,18,19,11,1,15,12,2,11,1,1,5,29,38,3,33,39,9,18,1,3,87,7,15,13,8,2,75,226,680,13.877551020408163
Maharashtra,Pune Commr.,2004,98,74,4,63,2,63,72,51,21,23,15,128,842,3907,2076,1830,523,69,435,0,9,1155,2,66,98,174,2,428,2572,10755,108.63636363636364
Assam,Karbi Anglong,2004,42,15,0,15,2,15,39,20,24,3,1,16,22,152,30,124,38,11,5,6,9,42,3,8,2,9,0,69,190,691,16.069767441860463
Karnataka,Mysore Commr.,2004,23,39,1,6,2,9,11,6,6,1,2,29,96,277,127,149,48,22,37,1,0,349,10,19,2,58,1,0,730,1760,73.33333333333333
Chhattisgarh,Balrampur,2004,23,19,0,22,0,24,3,1,2,12,3,11,52,32,1,29,14,2,1,1,8,28,3,29,5,16,2,14,192,490,20.416666666666668
Mizoram,Mamit,2004,3,2,0,6,0,3,2,2,2,1,2,1,15,18,1,18,0,2,2,2,1,7,0,2,1,2,1,4,8,60,15.0
Jharkhand,Chatra,2004,28,1,0,14,1,15,9,13,2,19,1,23,22,61,13,50,81,2,7,0,4,1,18,1,2,5,1,0,473,772,26.620689655172413
Madhya Pradesh,Indore Rly.,2004,4,0,3,0,2,1,1,1,2,1,1,4,3,147,2,151,2,1,4,2,2,13,0,4,1,1,2,0,105,286,57.2
Assam,Karimganj,2004,36,20,1,44,1,44,45,46,1,13,2,6,79,197,8,191,216,13,8,5,17,111,3,3,0,74,1,44,212,1155,31.216216216216218
Maharashtra,Nasik Rural,2004,112,44,7,54,0,56,20,14,4,27,9,50,258,449,79,366,279,45,95,9,39,806,4,83,32,359,2,413,1202,4386,38.8141592920354
Himachal Pradesh,Total,2004,110,79,22,142,2,142,116,104,16,4,0,24,698,695,164,530,556,81,162,7,96,1358,2,287,29,226,1,482,7166,12347,111.23423423423424
Bihar,Bagaha,2004,28,25,8,19,0,21,42,9,31,3,1,14,27,89,2,91,99,4,38,5,12,44,3,4,2,7,1,6,456,933,32.172413793103445
Maharashtra,Nasik Rural,2004,97,41,0,32,2,34,24,20,5,11,10,27,239,463,99,363,294,39,132,6,15,810,11,88,45,372,1,467,1123,4343,44.316326530612244
Maharashtra,Nagpur Rly.,2004,10,0,2,1,2,2,1,3,1,7,0,14,2,905,17,886,3,0,8,9,2,26,0,8,2,2,1,5,106,1109,100.81818181818181
Uttarakhand,Almora,2004,11,11,2,2,1,1,4,3,0,0,1,8,22,28,0,28,9,1,3,1,4,47,5,9,4,9,0,14,33,222,18.5
Haryana,Total,2004,875,585,57,607,2,606,633,432,204,102,223,410,4002,10520,6301,4219,1143,748,1424,33,157,5136,254,485,489,2253,0,1350,19012,50511,57.66095890410959
Odisha,Rourkela,2004,12,31,1,9,2,11,10,9,1,1,2,21,116,213,73,137,12,9,27,1,3,21,1,57,6,39,2,39,642,1270,97.6923076923077
Karnataka,Hassan,2004,76,64,2,12,2,12,24,2,25,4,0,21,197,286,72,216,244,17,11,0,92,1360,5,63,2,62,0,0,1552,4102,53.27272727272727
Jammu & Kashmir,Leh,2004,4,2,1,4,2,4,3,5,2,2,1,0,16,5,2,5,4,0,2,2,0,2,2,5,0,3,2,1,115,154,30.8
Gujarat,Narmada,2004,14,2,1,5,1,3,1,1,2,3,1,2,19,33,1,28,10,16,3,2,5,81,1,5,2,9,2,37,241,475,31.666666666666668
Haryana,Faridabad,2004,68,31,7,41,0,42,65,48,17,6,20,21,225,815,547,271,155,97,31,3,6,347,30,45,584,158,1,13,2821,5586,80.95652173913044
Uttar Pradesh,Bareilly,2004,194,122,42,30,2,31,72,48,25,15,2,46,107,334,122,214,46,38,89,4,1,310,39,26,76,84,0,5,860,2547,13.061538461538461
Tamil Nadu,Perambalur,2004,36,35,2,19,1,19,21,17,5,3,1,10,58,191,72,121,63,5,38,1,9,692,2,51,2,20,1,127,1304,2682,72.48648648648648
West Bengal,Total,2004,1425,390,468,1477,2,1476,1198,1016,183,213,943,534,548,14467,2670,11795,2692,425,1685,125,105,3865,395,1564,64,6334,13,2994,27426,69348,48.63113604488078
Tamil Nadu,Namakkal,2004,30,25,2,2,1,1,37,33,2,2,2,6,53,196,70,124,72,5,21,6,11,1378,2,38,2,43,2,317,1081,3308,106.70967741935483
Tamil Nadu,Total,2004,1480,1770,24,616,0,618,872,690,178,72,55,462,4148,17528,3995,13532,3431,267,2122,42,661,30856,223,1861,1079,1435,1,9150,88438,166604,112.49426063470628
Bihar,Muzaffarpur Rly.,2004,16,1,2,4,2,1,4,4,1,11,1,20,11,319,18,298,6,1,13,1,2,54,2,5,2,3,1,2,131,608,35.76470588235294
Uttar Pradesh,J.P.Nagar,2004,77,57,10,27,1,29,25,17,5,7,2,44,56,112,31,84,43,15,36,5,0,58,5,24,30,65,2,190,405,1300,16.666666666666668
West Bengal,Bankura,2004,38,1,8,48,1,48,24,25,1,9,17,22,9,372,6,365,59,1,13,8,6,168,23,40,2,124,2,136,495,1620,41.53846153846154
Bihar,Naugachia,2004,51,38,1,5,0,8,25,2,23,14,2,35,13,66,1,63,120,4,6,1,1,6,6,3,1,10,2,49,601,1057,20.326923076923077
Chhattisgarh,Raipur,2004,108,64,2,129,1,129,55,40,14,8,2,48,663,1153,503,652,126,45,99,7,41,1373,25,226,32,99,1,445,3184,7930,72.75229357798165
Gujarat,Kheda North,2004,51,11,2,7,0,6,22,22,1,7,2,21,123,392,122,273,43,52,57,4,8,374,1,25,2,137,2,198,2090,3641,70.01923076923077
Uttar Pradesh,Sidharthnagar,2004,21,14,9,10,2,8,15,16,1,8,1,6,63,91,26,67,25,17,35,3,1,99,14,14,3,29,1,8,362,849,38.59090909090909
Uttar Pradesh,Balrampur,2004,16,16,9,6,2,6,13,13,4,0,2,5,16,44,13,35,11,5,14,1,0,49,11,9,4,15,1,27,115,387,22.764705882352942
West Bengal,Sealdah G.R.P.,2004,14,4,1,0,0,2,6,6,2,6,15,10,0,173,1,172,2,2,5,1,0,3,0,3,1,0,2,2,49,294,19.6
Tamil Nadu,Chennai,2004,69,208,4,31,2,32,38,18,17,5,0,45,432,3262,783,2479,35,25,360,2,1,667,23,57,188,152,1,571,6266,12437,177.67142857142858
Meghalaya,Ri-Bhoi,2004,11,0,2,4,1,8,0,1,1,9,2,7,0,48,9,39,2,1,6,1,1,11,2,10,1,2,1,0,77,187,15.583333333333334
Uttar Pradesh,Chandoli,2004,26,21,8,5,2,4,11,4,4,2,1,13,44,80,12,69,13,15,29,1,6,81,15,9,9,25,1,10,205,628,23.25925925925926
Karnataka,Udupi,2004,28,19,2,8,0,5,8,4,9,7,1,14,136,88,28,59,146,11,13,2,4,264,0,29,2,15,2,9,1443,2236,77.10344827586206
Tamil Nadu,Ramnathapuram,2004,28,23,2,11,1,11,17,11,3,2,1,5,61,217,32,183,159,8,21,2,27,511,4,50,4,43,1,110,1670,2961,102.10344827586206
Madhya Pradesh,Total,2004,2394,2864,196,2893,2,2889,964,639,325,138,141,1831,13342,20760,4843,15916,3176,507,1240,55,1053,29956,673,7117,783,3115,2,3678,94922,191801,80.0839248434238
Uttar Pradesh,Sidharthnagar,2004,14,12,11,4,2,4,19,17,4,2,2,8,44,37,9,29,16,11,41,3,1,77,4,18,2,13,2,50,204,595,39.666666666666664
Rajasthan,Hanumangarh,2004,63,98,0,40,1,39,35,25,6,1,1,7,147,345,64,280,29,22,282,5,16,608,20,96,1,225,0,89,1740,3869,60.453125
Uttar Pradesh,Total,2004,5712,5636,1520,1215,0,1216,2956,2255,699,287,87,2051,4558,20693,8646,12050,3925,2525,4557,260,400,10381,1566,1835,2882,4503,1,7405,37156,122108,21.37370908454402
Madhya Pradesh,Jabalpur Rly.,2004,3,4,2,1,0,1,1,1,2,1,0,12,2,210,5,205,2,1,2,1,0,6,0,2,1,0,1,2,103,347,86.75
Gujarat,Ahmedabad Commr.,2004,94,64,5,38,0,40,217,123,95,35,5,272,931,5709,2151,3557,161,273,334,9,11,1592,8,63,22,766,2,164,6784,17553,184.76842105263157
Rajasthan,Jaisalmer,2004,2,2,1,1,2,5,11,5,3,0,0,4,31,119,16,106,13,2,24,1,6,4,2,18,1,14,0,31,410,696,232.0
Manipur,Thoubal,2004,22,41,3,8,1,10,36,25,8,2,2,1,11,32,4,32,7,2,30,1,3,98,1,1,2,3,1,1,186,489,21.26086956521739
Punjab,G.R.P,2004,6,4,1,1,1,2,3,2,3,2,1,2,2,27,4,26,1,1,17,4,2,10,0,2,0,2,0,1,214,293,41.857142857142854
Jharkhand,Dumka,2004,58,143,5,49,1,50,21,1,17,9,2,10,50,76,14,62,24,9,13,2,11,16,10,24,2,67,1,44,333,968,16.406779661016948
Maharashtra,Washim,2004,26,24,3,10,2,12,16,13,4,6,2,15,116,431,22,406,100,5,15,0,23,449,10,64,8,141,2,74,553,2094,77.55555555555556
Madhya Pradesh,Sheopur,2004,13,17,2,22,2,19,6,3,3,4,1,6,52,88,16,69,29,1,10,2,2,281,3,41,2,26,2,27,549,1167,83.35714285714286
Chhattisgarh,Dantewara,2004,60,30,0,11,1,10,6,2,2,4,1,7,64,64,8,56,20,0,3,0,7,67,1,18,0,7,2,20,236,616,10.098360655737705
Jammu & Kashmir,Poonch,2004,109,112,1,13,2,14,10,12,1,1,2,2,19,62,1,62,17,3,9,0,25,38,2,13,1,2,1,9,283,727,6.609090909090909
Haryana,Fatehabad,2004,23,16,3,9,2,8,21,16,4,0,0,6,106,156,92,62,9,10,115,1,2,186,5,17,8,64,0,4,519,1283,53.458333333333336
Andhra Pradesh,Hyderabad City,2004,122,133,2,54,0,55,136,61,72,11,4,72,1357,5733,2080,3659,139,109,2158,18,35,4835,29,143,208,1142,1,482,1932,18866,153.3821138211382
Assam,Barpeta,2004,46,4,0,52,0,52,73,58,12,19,2,27,86,239,1,235,240,13,44,7,12,185,9,26,6,103,2,39,314,1545,32.87234042553192
Andhra Pradesh,Mahaboobnagar,2004,169,82,29,84,0,84,59,36,19,3,0,38,241,439,42,400,142,25,89,4,74,906,30,203,42,223,1,355,2107,5353,31.488235294117647
Uttar Pradesh,Bulandshahar,2004,198,142,33,41,1,39,91,70,19,3,0,80,78,412,108,301,76,30,61,2,8,30,38,52,115,108,2,153,1076,2811,14.125628140703517
Assam,N.C.Hills,2004,21,9,1,2,2,2,11,10,2,5,2,12,2,40,0,41,2,3,2,0,23,22,2,4,2,17,1,4,40,210,9.545454545454545
Karnataka,Kodagu,2004,32,23,0,11,2,9,5,2,5,6,2,5,130,67,7,60,87,1,12,1,4,353,1,26,2,16,2,1,491,1282,38.84848484848485
Bihar,Vaishali,2004,99,153,7,40,2,44,215,103,114,7,3,70,85,383,70,312,216,77,274,1,27,364,96,28,2,248,0,97,2544,5033,50.33
Assam,Dhubri,2004,52,13,0,78,1,77,75,66,8,19,0,10,69,137,3,132,545,72,43,3,25,323,11,108,2,185,2,206,177,2159,40.735849056603776
Tamil Nadu,Chengai,2004,82,73,2,15,2,16,37,35,4,3,20,24,477,1170,224,945,82,18,95,1,15,999,17,101,61,78,2,591,7113,11080,133.49397590361446
Tamil Nadu,Chennai,2004,70,279,6,37,0,36,36,1,32,5,2,75,649,3781,958,2819,43,20,627,6,3,749,20,91,210,158,1,545,1172,8579,120.83098591549296
Himachal Pradesh,Shimla,2004,14,9,2,26,1,28,24,20,6,0,1,0,121,121,27,95,115,15,25,2,8,76,2,50,1,24,2,68,1310,2007,133.8
Haryana,Kaithal,2004,28,22,7,7,1,5,8,3,5,2,3,5,88,152,70,83,2,42,18,2,21,237,6,10,1,100,0,7,364,1122,38.689655172413794
Rajasthan,Karauli,2004,21,17,3,21,1,23,59,32,26,2,0,16,37,261,41,218,91,8,77,1,24,19,16,57,1,56,1,62,2085,2922,132.8181818181818
Odisha,Rourkela,2004,22,10,2,9,2,11,4,5,3,1,2,18,96,182,19,160,4,4,48,2,1,153,3,31,5,20,0,42,520,1179,51.26086956521739
Odisha,Puri,2004,41,118,2,34,1,38,28,26,6,5,1,48,136,281,49,237,44,9,26,2,17,87,17,24,8,19,1,77,1509,2526,60.142857142857146
Andhra Pradesh,Medak,2004,104,50,20,68,0,68,47,36,9,19,1,35,274,354,37,318,65,23,106,1,57,1614,26,103,27,251,2,418,555,4209,40.08571428571429
Gujarat,Ahwa-Dang,2004,4,2,2,4,1,2,1,0,1,2,1,3,5,3,1,4,5,4,2,1,0,26,2,1,0,2,0,17,50,123,24.6
Uttar Pradesh,Gorakhpur,2004,111,72,29,29,0,28,43,40,3,4,0,48,175,226,68,156,108,60,107,3,3,282,29,30,20,57,2,252,936,2618,23.375
Bihar,Madhepura,2004,63,12,6,10,0,7,25,3,19,21,1,28,19,60,6,51,105,9,14,1,6,1,7,1,0,6,1,21,588,1003,15.671875
